VK,Hold,Flight,char,jitter,source,sentence_id,label
73,244,80,I,154.0,pcg64,6255.0,1
84,310,204,T,85.0,pcg64,10021.0,1
69,183,586,E,82.0,pcg64,37.0,1
69,444,1109,E,391.0,mersenne,11094.0,1
69,124,1065,E,899.0,mersenne,18441.0,1
80,119,116,P,559.0,pcg64,13343.0,1
32,80,462, ,361.0,philox,853.0,1
32,83,191, ,123.0,philox,4141.0,1
70,81,131,F,28.0,human,,0
67,124,334,C,589.0,mersenne,6628.0,1
68,179,277,D,97.0,philox,9898.0,1
68,30,107,D,138.0,philox,1798.0,1
84,118,569,T,144.0,pcg64,13590.0,1
83,143,1052,S,872.0,mersenne,587.0,1
32,145,509, ,483.0,mersenne,1194.0,1
32,176,545, ,70.0,philox,12985.0,1
65,68,1085,A,551.0,mersenne,7675.0,1
32,180,434, ,184.0,philox,713.0,1
32,391,189, ,75.0,pcg64,731.0,1
79,52,184,O,83.0,human,,0
69,278,269,E,368.0,xoroshiro128,12183.0,1
79,13,599,O,75.0,pcg64,18517.0,1
32,366,544, ,76.0,pcg64,11429.0,1
65,354,936,A,244.0,mersenne,10173.0,1
70,176,135,F,321.0,mersenne,17659.0,1
65,239,358,A,315.0,philox,15234.0,1
32,88,268, ,152.0,human,,0
69,501,1048,E,10.0,mersenne,685.0,1
78,80,72,N,96.0,human,,0
83,363,164,S,69.0,pcg64,15835.0,1
68,1,51,D,139.0,human,,0
32,355,235, ,84.0,xoroshiro128,1230.0,1
77,84,560,M,448.0,human,,0
73,88,123,I,142.0,human,,0
32,220,694, ,404.0,philox,1291.0,1
83,20,314,S,549.0,mersenne,7234.0,1
69,260,103,E,104.0,philox,2408.0,1
71,237,590,G,90.0,xoroshiro128,5312.0,1
83,78,275,S,198.0,xoroshiro128,16673.0,1
32,49,599, ,188.0,pcg64,16111.0,1
80,370,495,P,234.0,pcg64,15656.0,1
78,326,460,N,34.0,xoroshiro128,3236.0,1
82,80,76,R,142.0,pcg64,11650.0,1
72,67,313,H,328.0,xoroshiro128,18004.0,1
68,72,201,D,132.0,human,,0
85,317,79,U,477.0,philox,6488.0,1
73,48,352,I,136.0,xoroshiro128,8632.0,1
32,332,300, ,100.0,xoroshiro128,1165.0,1
69,66,139,E,28.0,human,,0
67,93,32,C,124.0,human,,0
32,372,1083, ,447.0,mersenne,6380.0,1
67,37,568,C,239.0,philox,12658.0,1
84,317,563,T,155.0,xoroshiro128,2532.0,1
72,341,131,H,4.0,pcg64,1711.0,1
88,213,627,X,124.0,pcg64,13658.0,1
78,153,214,N,129.0,xoroshiro128,2356.0,1
77,140,413,M,585.0,mersenne,4097.0,1
78,55,159,N,492.0,philox,13756.0,1
82,94,203,R,422.0,human,,0
67,108,201,C,1.0,human,,0
79,99,142,O,13.0,human,,0
65,214,318,A,245.0,pcg64,7147.0,1
83,258,254,S,66.0,mersenne,6336.0,1
32,102,604, ,589.0,xoroshiro128,2821.0,1
13,93,1172,[ENTER],312.0,human,,0
84,391,408,T,701.0,mersenne,6406.0,1
80,398,530,P,133.0,pcg64,10861.0,1
79,26,387,O,116.0,xoroshiro128,4834.0,1
32,353,264, ,87.0,pcg64,5414.0,1
65,207,573,A,88.0,pcg64,12652.0,1
81,265,348,Q,83.0,pcg64,7728.0,1
73,46,38,I,32.0,philox,17831.0,1
79,94,660,O,248.0,xoroshiro128,10594.0,1
69,19,448,E,109.0,pcg64,6578.0,1
69,40,90,E,526.0,pcg64,15363.0,1
84,158,1050,T,1022.0,mersenne,17490.0,1
39,38,200,[UNK],101.0,human,,0
78,207,259,N,597.0,mersenne,952.0,1
71,45,673,G,569.0,xoroshiro128,1500.0,1
79,75,39,O,77.0,pcg64,10629.0,1
65,151,24,A,35.0,pcg64,14196.0,1
32,239,542, ,90.0,philox,7046.0,1
78,112,402,N,305.0,pcg64,9467.0,1
65,183,629,A,382.0,pcg64,10222.0,1
32,413,260, ,544.0,mersenne,17087.0,1
69,73,452,E,15.0,mersenne,7704.0,1
69,80,76,E,142.0,pcg64,11370.0,1
32,277,437, ,101.0,xoroshiro128,18559.0,1
69,259,619,E,536.0,xoroshiro128,5939.0,1
32,367,491, ,454.0,xoroshiro128,2783.0,1
32,147,667, ,653.0,xoroshiro128,736.0,1
32,47,447, ,215.0,philox,980.0,1
79,144,442,O,244.0,xoroshiro128,14987.0,1
67,80,581,C,18.0,pcg64,3442.0,1
65,82,603,A,334.0,xoroshiro128,7996.0,1
32,218,354, ,56.0,pcg64,7814.0,1
84,181,88,T,120.0,pcg64,11598.0,1
73,49,182,I,91.0,xoroshiro128,11024.0,1
73,67,219,I,246.0,philox,6985.0,1
73,334,214,I,249.0,xoroshiro128,16642.0,1
70,95,105,F,159.0,human,,0
32,120,77, ,7.0,human,,0
32,14,699, ,362.0,philox,10581.0,1
73,44,192,I,442.0,pcg64,13627.0,1
83,57,102,S,91.0,pcg64,7966.0,1
67,80,408,C,40.0,human,,0
82,94,367,R,334.0,mersenne,10991.0,1
72,22,535,H,242.0,mersenne,17886.0,1
84,155,67,T,18.0,philox,16199.0,1
32,397,125, ,523.0,mersenne,1689.0,1
83,388,691,S,188.0,pcg64,7854.0,1
190,73,990,[UNK],625.0,human,,0
65,141,259,A,147.0,human,,0
79,393,794,O,583.0,mersenne,13377.0,1
78,362,137,N,325.0,philox,1208.0,1
73,134,478,I,429.0,pcg64,952.0,1
73,32,134,I,485.0,xoroshiro128,14448.0,1
78,130,93,N,221.0,xoroshiro128,4344.0,1
80,226,315,P,332.0,xoroshiro128,1965.0,1
32,164,689, ,523.0,pcg64,18614.0,1
32,152,40, ,16.0,human,,0
78,49,648,N,152.0,mersenne,7896.0,1
32,108,488, ,340.0,xoroshiro128,9465.0,1
78,80,677,N,595.0,philox,18129.0,1
82,65,246,R,380.0,xoroshiro128,9918.0,1
32,251,161, ,22.0,xoroshiro128,14862.0,1
85,201,475,U,575.0,mersenne,9421.0,1
76,215,539,L,359.0,philox,2647.0,1
65,344,106,A,475.0,pcg64,144.0,1
32,192,349, ,249.0,philox,2019.0,1
188,141,608,[UNK],62.0,human,,0
85,105,578,U,223.0,mersenne,17640.0,1
80,240,130,P,28.0,pcg64,1632.0,1
66,117,369,B,255.0,pcg64,12896.0,1
89,84,475,Y,228.0,mersenne,6599.0,1
82,154,502,R,195.0,mersenne,16825.0,1
32,213,288, ,67.0,philox,7825.0,1
73,158,109,I,108.0,human,,0
65,99,143,A,846.0,human,,0
77,192,632,M,31.0,pcg64,14800.0,1
32,54,372, ,72.0,pcg64,17702.0,1
32,296,48, ,556.0,mersenne,18337.0,1
78,80,136,N,48.0,human,,0
68,64,160,D,640.0,human,,0
32,274,109, ,183.0,philox,1183.0,1
32,381,666, ,493.0,philox,2047.0,1
32,39,149, ,486.0,pcg64,572.0,1
73,480,942,I,752.0,mersenne,14671.0,1
71,296,181,G,565.0,mersenne,13785.0,1
73,67,16,I,315.0,pcg64,3166.0,1
8,99,283,[BACKSPACE],188.0,human,,0
78,180,258,N,135.0,xoroshiro128,1815.0,1
78,96,209,N,110.0,human,,0
32,26,13, ,244.0,xoroshiro128,8877.0,1
89,152,105,Y,158.0,xoroshiro128,17199.0,1
82,79,156,R,47.0,human,,0
72,142,173,H,137.0,pcg64,3127.0,1
160,1256,344,[UNK],64.0,human,,0
65,72,176,A,8.0,human,,0
65,105,124,A,16.0,human,,0
65,256,29,A,66.0,philox,1156.0,1
32,116,327, ,64.0,pcg64,15064.0,1
72,209,277,H,540.0,mersenne,3094.0,1
84,120,144,T,88.0,human,,0
79,290,406,O,47.0,pcg64,11641.0,1
89,387,678,Y,207.0,mersenne,9979.0,1
73,115,54,I,676.0,mersenne,12380.0,1
65,398,283,A,30.0,xoroshiro128,17977.0,1
79,271,578,O,521.0,xoroshiro128,15043.0,1
70,448,1133,F,526.0,mersenne,3124.0,1
76,315,321,L,359.0,philox,2605.0,1
78,31,635,N,328.0,xoroshiro128,4693.0,1
84,163,543,T,168.0,philox,9146.0,1
65,74,166,A,484.0,pcg64,3487.0,1
80,143,161,P,39.0,pcg64,15407.0,1
71,55,418,G,86.0,pcg64,10108.0,1
65,216,218,A,74.0,xoroshiro128,14271.0,1
32,183,217, ,263.0,pcg64,2157.0,1
32,182,596, ,367.0,pcg64,4583.0,1
73,108,509,I,489.0,xoroshiro128,795.0,1
67,48,-1,C,288.0,human,,0
67,177,662,C,250.0,philox,9694.0,1
82,72,104,R,8.0,human,,0
69,99,144,E,47.0,human,,0
83,259,312,S,269.0,philox,6160.0,1
82,160,167,R,47.0,pcg64,1682.0,1
160,0,32,[UNK],1.0,human,,0
79,332,895,O,191.0,mersenne,14827.0,1
32,481,1137, ,940.0,mersenne,1363.0,1
69,29,730,E,287.0,mersenne,5561.0,1
84,339,627,T,384.0,xoroshiro128,17635.0,1
79,41,458,O,253.0,philox,8634.0,1
32,323,653, ,295.0,philox,1778.0,1
32,202,113, ,975.0,mersenne,8779.0,1
76,152,424,L,368.0,human,,0
73,234,229,I,448.0,philox,6309.0,1
51,146,613,3,614.0,human,,0
68,37,213,D,40.0,philox,1225.0,1
69,367,114,E,467.0,human,,0
80,128,120,P,72.0,human,,0
69,52,425,E,27.0,xoroshiro128,14568.0,1
32,72,167, ,89.0,human,,0
78,339,376,N,126.0,philox,18007.0,1
73,321,159,I,88.0,xoroshiro128,14245.0,1
77,198,279,M,63.0,xoroshiro128,6300.0,1
67,478,1070,C,788.0,mersenne,7481.0,1
78,309,656,N,418.0,xoroshiro128,183.0,1
32,78,179, ,31.0,human,,0
82,64,201,R,130.0,human,,0
32,96,128, ,496.0,human,,0
84,86,61,T,573.0,xoroshiro128,2398.0,1
79,48,439,O,486.0,mersenne,11651.0,1
77,22,528,M,169.0,philox,14332.0,1
67,87,98,C,580.0,xoroshiro128,572.0,1
32,59,664, ,464.0,pcg64,16805.0,1
69,299,1174,E,310.0,mersenne,18480.0,1
90,152,64,Z,160.0,human,,0
78,142,327,N,238.0,pcg64,11611.0,1
65,201,277,A,80.0,mersenne,1924.0,1
72,322,864,H,838.0,mersenne,16974.0,1
83,217,619,S,40.0,xoroshiro128,9681.0,1
32,78,125, ,31.0,human,,0
32,47,172, ,748.0,human,,0
79,112,72,O,0.0,human,,0
73,7,783,I,531.0,human,,0
67,317,239,C,132.0,pcg64,3936.0,1
88,189,374,X,93.0,pcg64,13162.0,1
84,369,409,T,69.0,xoroshiro128,636.0,1
79,94,82,O,410.0,xoroshiro128,12575.0,1
32,111,339, ,17.0,philox,10378.0,1
69,47,19,E,500.0,xoroshiro128,17089.0,1
82,326,98,R,49.0,xoroshiro128,13356.0,1
78,174,122,N,66.0,human,,0
73,119,232,I,257.0,pcg64,15291.0,1
82,123,444,R,299.0,pcg64,11625.0,1
83,184,239,S,151.0,human,,0
79,153,294,O,191.0,philox,18498.0,1
82,172,673,R,9.0,philox,12473.0,1
79,251,157,O,154.0,philox,175.0,1
79,373,454,O,213.0,pcg64,17503.0,1
69,44,622,E,260.0,pcg64,6016.0,1
71,256,312,G,16.0,human,,0
84,171,227,T,148.0,human,,0
77,72,215,M,5.0,human,,0
73,416,90,I,418.0,mersenne,3182.0,1
32,315,671, ,246.0,mersenne,14643.0,1
190,63,781,[UNK],547.0,human,,0
68,375,299,D,115.0,xoroshiro128,3926.0,1
79,236,126,O,96.0,pcg64,8884.0,1
69,275,173,E,108.0,philox,15000.0,1
65,216,346,A,138.0,philox,35.0,1
78,63,148,N,10.0,human,,0
68,390,388,D,551.0,mersenne,128.0,1
73,475,876,I,81.0,mersenne,1988.0,1
73,368,578,I,266.0,pcg64,8513.0,1
85,105,635,U,93.0,pcg64,2695.0,1
85,187,607,U,279.0,pcg64,2245.0,1
32,302,685, ,56.0,philox,2201.0,1
69,105,127,E,1042.0,human,,0
76,133,444,L,197.0,philox,7628.0,1
69,399,362,E,28.0,pcg64,5577.0,1
16,365,690,[UNK],365.0,human,,0
76,241,454,L,380.0,xoroshiro128,4661.0,1
32,247,367, ,332.0,mersenne,10655.0,1
32,52,213, ,21.0,human,,0
75,383,473,K,82.0,philox,3090.0,1
32,139,100, ,72.0,pcg64,6668.0,1
78,179,147,N,430.0,xoroshiro128,9258.0,1
32,88,160, ,8.0,human,,0
78,102,471,N,335.0,philox,684.0,1
77,485,721,M,104.0,mersenne,4949.0,1
79,249,183,O,296.0,mersenne,6271.0,1
76,154,192,L,165.0,pcg64,7103.0,1
77,243,367,M,202.0,xoroshiro128,17362.0,1
32,93,250, ,2.0,human,,0
105,56,216,[UNK],217.0,human,,0
84,75,78,T,602.0,xoroshiro128,885.0,1
73,206,549,I,294.0,mersenne,4045.0,1
78,59,70,N,360.0,pcg64,3152.0,1
79,121,641,O,93.0,pcg64,13234.0,1
78,309,280,N,126.0,philox,7212.0,1
65,287,659,A,519.0,pcg64,10586.0,1
83,377,465,S,93.0,philox,15304.0,1
32,97,143, ,78.0,human,,0
79,174,439,O,149.0,xoroshiro128,3427.0,1
71,198,434,G,224.0,philox,1219.0,1
84,151,624,T,170.0,pcg64,16048.0,1
79,95,182,O,1.0,human,,0
69,115,364,E,185.0,pcg64,8726.0,1
67,252,373,C,213.0,philox,13485.0,1
73,233,305,I,237.0,xoroshiro128,3877.0,1
83,390,671,S,369.0,philox,1178.0,1
79,74,275,O,86.0,human,,0
32,22,651, ,449.0,xoroshiro128,16845.0,1
65,360,676,A,402.0,pcg64,3917.0,1
32,49,112, ,16.0,human,,0
83,251,405,S,60.0,philox,5929.0,1
69,372,423,E,128.0,mersenne,961.0,1
67,310,609,C,510.0,philox,6702.0,1
79,372,463,O,182.0,pcg64,11417.0,1
73,105,97,I,41.0,human,,0
73,58,161,I,406.0,xoroshiro128,16266.0,1
71,228,166,G,118.0,xoroshiro128,14851.0,1
69,306,635,E,581.0,xoroshiro128,11013.0,1
82,115,241,R,242.0,human,,0
68,90,124,D,493.0,xoroshiro128,17602.0,1
83,184,247,S,126.0,pcg64,5236.0,1
69,38,542,E,299.0,philox,7264.0,1
78,273,657,N,82.0,xoroshiro128,17162.0,1
69,21,430,E,48.0,pcg64,988.0,1
32,180,259, ,372.0,philox,1938.0,1
71,324,23,G,382.0,pcg64,4989.0,1
85,176,499,U,14.0,pcg64,5978.0,1
89,44,697,Y,148.0,philox,13753.0,1
80,328,34,P,144.0,pcg64,9921.0,1
79,140,16,O,5.0,pcg64,5106.0,1
32,379,463, ,172.0,philox,13451.0,1
82,128,112,R,16.0,human,,0
86,245,552,V,367.0,xoroshiro128,13690.0,1
83,157,345,S,87.0,pcg64,6680.0,1
65,370,495,A,234.0,pcg64,15881.0,1
69,80,96,E,96.0,human,,0
48,273,387,0,197.0,pcg64,6841.0,1
89,371,647,Y,320.0,philox,1277.0,1
96,64,256,[UNK],384.0,human,,0
32,318,231, ,31.0,philox,9880.0,1
69,109,156,E,16.0,human,,0
32,41,511, ,111.0,xoroshiro128,9224.0,1
70,112,72,F,24.0,human,,0
52,361,666,4,554.0,pcg64,5358.0,1
77,155,588,M,531.0,xoroshiro128,11409.0,1
73,178,637,I,90.0,philox,8329.0,1
32,120,336, ,200.0,human,,0
68,128,168,D,32.0,human,,0
84,280,619,T,254.0,xoroshiro128,5213.0,1
82,127,694,R,367.0,xoroshiro128,11720.0,1
67,393,555,C,352.0,mersenne,5886.0,1
48,75,566,0,315.0,pcg64,11009.0,1
79,54,164,O,67.0,mersenne,4458.0,1
32,20,465, ,430.0,xoroshiro128,16516.0,1
78,162,628,N,480.0,xoroshiro128,6107.0,1
32,158,310, ,286.0,pcg64,10396.0,1
86,121,655,V,486.0,pcg64,2875.0,1
69,295,439,E,159.0,xoroshiro128,3024.0,1
73,78,62,I,47.0,human,,0
87,404,130,W,151.0,mersenne,1689.0,1
32,376,624, ,273.0,xoroshiro128,5830.0,1
87,11,665,W,414.0,xoroshiro128,16595.0,1
87,359,79,W,467.0,philox,1727.0,1
32,124,10, ,281.0,pcg64,17483.0,1
78,173,675,N,367.0,xoroshiro128,12026.0,1
32,97,697, ,666.0,philox,2155.0,1
76,306,384,L,167.0,philox,390.0,1
80,18,537,P,32.0,xoroshiro128,14755.0,1
32,170,318, ,264.0,xoroshiro128,9106.0,1
84,24,373,T,162.0,pcg64,11508.0,1
76,62,219,L,63.0,human,,0
69,77,831,E,247.0,mersenne,18118.0,1
87,366,719,W,689.0,mersenne,2599.0,1
73,159,529,I,137.0,philox,256.0,1
84,168,112,T,88.0,human,,0
78,409,677,N,279.0,mersenne,675.0,1
65,122,165,A,125.0,human,,0
76,72,296,L,128.0,human,,0
73,299,213,I,246.0,xoroshiro128,4208.0,1
65,58,156,A,8.0,xoroshiro128,6598.0,1
32,208,664, ,492.0,mersenne,10155.0,1
70,343,746,F,165.0,mersenne,4168.0,1
72,90,199,H,434.0,xoroshiro128,35.0,1
78,128,508,N,61.0,pcg64,5684.0,1
79,72,169,O,144.0,human,,0
69,89,556,E,284.0,mersenne,1109.0,1
72,117,292,H,17.0,pcg64,573.0,1
32,217,142, ,56.0,xoroshiro128,9576.0,1
32,105,105, ,12.0,human,,0
73,285,694,I,474.0,xoroshiro128,3219.0,1
69,124,45,E,79.0,human,,0
82,80,100,R,20.0,human,,0
69,42,105,E,67.0,human,,0
32,328,187, ,91.0,xoroshiro128,16952.0,1
76,139,391,L,201.0,mersenne,8854.0,1
73,358,527,I,422.0,mersenne,3189.0,1
65,187,962,A,63.0,mersenne,1370.0,1
67,272,232,C,349.0,xoroshiro128,18145.0,1
72,52,141,H,158.0,xoroshiro128,565.0,1
32,192,12, ,287.0,xoroshiro128,16617.0,1
68,444,44,D,64.0,mersenne,7100.0,1
32,144,644, ,605.0,xoroshiro128,5343.0,1
12,94,-1,[UNK],267.0,human,,0
78,88,264,N,168.0,human,,0
89,133,262,Y,861.0,mersenne,1094.0,1
69,169,400,E,53.0,mersenne,14609.0,1
65,472,798,A,277.0,mersenne,4304.0,1
69,150,375,E,197.0,mersenne,122.0,1
69,241,585,E,43.0,mersenne,6541.0,1
32,276,175, ,250.0,philox,38.0,1
84,109,235,T,103.0,human,,0
190,70,472,[UNK],558.0,human,,0
84,349,617,T,270.0,philox,17451.0,1
79,163,470,O,195.0,xoroshiro128,12359.0,1
69,99,1104,E,406.0,mersenne,18195.0,1
32,300,108, ,15.0,mersenne,9361.0,1
78,289,574,N,238.0,philox,12288.0,1
79,382,402,O,218.0,xoroshiro128,8369.0,1
70,286,294,F,194.0,philox,1617.0,1
53,99,328,5,13.0,human,,0
73,283,543,I,93.0,philox,9017.0,1
68,133,340,D,269.0,mersenne,6686.0,1
65,294,195,A,93.0,philox,17055.0,1
69,304,103,E,193.0,mersenne,15857.0,1
83,266,309,S,84.0,xoroshiro128,8846.0,1
32,24,612, ,16.0,mersenne,11324.0,1
32,298,918, ,577.0,mersenne,13504.0,1
84,102,408,T,212.0,mersenne,1596.0,1
32,68,465, ,359.0,human,,0
78,343,398,N,136.0,xoroshiro128,8773.0,1
69,54,478,E,278.0,philox,18121.0,1
79,336,612,O,210.0,pcg64,4518.0,1
32,259,666, ,201.0,philox,9906.0,1
68,54,1090,D,204.0,mersenne,10384.0,1
32,147,21, ,580.0,philox,5121.0,1
84,428,1070,T,417.0,mersenne,974.0,1
69,104,72,E,56.0,human,,0
32,334,366, ,67.0,xoroshiro128,2964.0,1
65,71,232,A,251.0,xoroshiro128,1604.0,1
78,485,766,N,707.0,mersenne,4535.0,1
73,80,197,I,139.0,human,,0
9,109,452,[TAB],264.0,human,,0
67,232,723,C,349.0,mersenne,6299.0,1
65,142,414,A,108.0,xoroshiro128,6152.0,1
73,364,554,I,203.0,pcg64,9093.0,1
83,362,175,S,4.0,xoroshiro128,134.0,1
65,229,453,A,387.0,philox,1689.0,1
73,449,60,I,452.0,mersenne,4912.0,1
84,117,340,T,302.0,philox,5772.0,1
65,84,119,A,349.0,xoroshiro128,10091.0,1
65,377,170,A,261.0,philox,15057.0,1
83,258,129,S,452.0,pcg64,17056.0,1
78,148,95,N,47.0,pcg64,6865.0,1
77,474,1018,M,638.0,mersenne,10054.0,1
86,106,244,V,88.0,pcg64,1935.0,1
84,138,624,T,7.0,pcg64,18692.0,1
72,263,58,H,581.0,philox,3025.0,1
32,104,454, ,1.0,philox,2093.0,1
32,30,379, ,200.0,pcg64,8277.0,1
32,262,648, ,615.0,mersenne,4648.0,1
79,286,34,O,61.0,philox,18177.0,1
69,140,110,E,264.0,human,,0
79,277,334,O,12.0,philox,14792.0,1
69,73,371,E,26.0,philox,9831.0,1
65,364,689,A,212.0,philox,5766.0,1
69,54,23,E,231.0,xoroshiro128,10327.0,1
78,392,87,N,73.0,philox,13088.0,1
76,229,413,L,193.0,philox,2192.0,1
77,340,450,M,52.0,philox,17930.0,1
69,20,684,E,278.0,philox,2065.0,1
72,67,29,H,693.0,mersenne,2115.0,1
32,105,232, ,108.0,xoroshiro128,2877.0,1
82,41,56,R,257.0,xoroshiro128,13761.0,1
90,134,336,Z,226.0,philox,12524.0,1
48,101,484,0,11.0,philox,11000.0,1
32,56,152, ,7.0,human,,0
32,45,186, ,90.0,pcg64,6083.0,1
69,276,165,E,170.0,philox,3117.0,1
87,96,64,W,88.0,human,,0
32,56,305, ,59.0,philox,2386.0,1
32,221,451, ,22.0,philox,17479.0,1
80,67,382,P,239.0,pcg64,7127.0,1
71,32,156,G,471.0,pcg64,616.0,1
78,140,465,N,146.0,pcg64,11753.0,1
32,78,669, ,73.0,xoroshiro128,731.0,1
67,64,368,C,320.0,human,,0
32,394,68, ,247.0,mersenne,10370.0,1
73,248,466,I,371.0,xoroshiro128,11925.0,1
32,341,466, ,184.0,xoroshiro128,1154.0,1
79,379,495,O,477.0,philox,13917.0,1
69,220,543,E,316.0,philox,15152.0,1
79,39,651,O,151.0,pcg64,1868.0,1
67,62,265,C,140.0,human,,0
66,335,324,B,177.0,philox,14958.0,1
83,72,192,S,8.0,pcg64,13656.0,1
69,131,67,E,8.0,human,,0
73,77,50,I,1060.0,mersenne,10877.0,1
84,295,87,T,446.0,philox,2253.0,1
73,100,216,I,311.0,human,,0
67,174,581,C,89.0,pcg64,380.0,1
68,120,117,D,21.0,human,,0
79,130,684,O,570.0,pcg64,4895.0,1
82,164,250,R,373.0,xoroshiro128,14708.0,1
84,117,224,T,9.0,human,,0
66,165,668,B,257.0,mersenne,426.0,1
32,215,353, ,251.0,xoroshiro128,9661.0,1
82,135,119,R,27.0,human,,0
79,289,354,O,267.0,xoroshiro128,10250.0,1
32,51,683, ,475.0,philox,1036.0,1
85,31,162,U,409.0,philox,18630.0,1
83,189,675,S,85.0,xoroshiro128,5328.0,1
78,15,33,N,231.0,philox,7550.0,1
69,414,118,E,264.0,mersenne,16989.0,1
82,231,661,R,165.0,philox,2317.0,1
78,270,234,N,663.0,mersenne,10680.0,1
78,369,424,N,221.0,xoroshiro128,1789.0,1
79,200,664,O,69.0,xoroshiro128,11517.0,1
67,51,629,C,477.0,xoroshiro128,5440.0,1
65,152,96,A,64.0,human,,0
70,12,72,F,615.0,xoroshiro128,18375.0,1
82,73,294,R,95.0,human,,0
79,81,613,O,328.0,philox,15204.0,1
71,264,554,G,37.0,philox,3332.0,1
83,250,689,S,138.0,philox,3538.0,1
68,269,290,D,152.0,xoroshiro128,1762.0,1
65,243,471,A,413.0,pcg64,17836.0,1
69,20,569,E,369.0,philox,13277.0,1
79,341,511,O,163.0,pcg64,15917.0,1
82,277,49,R,616.0,philox,17143.0,1
84,369,500,T,432.0,pcg64,5541.0,1
78,22,699,N,525.0,xoroshiro128,8790.0,1
77,232,80,M,635.0,mersenne,1079.0,1
80,79,272,P,278.0,xoroshiro128,9687.0,1
68,399,677,D,144.0,mersenne,14797.0,1
32,370,371, ,100.0,pcg64,3772.0,1
32,276,44, ,631.0,philox,746.0,1
32,127,168, ,116.0,pcg64,11798.0,1
32,260,593, ,60.0,mersenne,11220.0,1
81,284,92,Q,149.0,xoroshiro128,17047.0,1
69,338,110,E,91.0,philox,17086.0,1
73,133,1096,I,542.0,mersenne,18229.0,1
69,423,849,E,764.0,mersenne,1923.0,1
72,327,158,H,47.0,pcg64,17559.0,1
32,68,191, ,192.0,human,,0
85,457,900,U,749.0,mersenne,2850.0,1
77,130,462,M,130.0,xoroshiro128,161.0,1
65,78,123,A,156.0,human,,0
69,88,120,E,40.0,human,,0
69,91,31,E,155.0,xoroshiro128,4630.0,1
65,338,601,A,63.0,philox,16376.0,1
82,424,295,R,829.0,mersenne,5377.0,1
79,174,649,O,537.0,pcg64,6245.0,1
84,296,497,T,372.0,xoroshiro128,17908.0,1
32,49,878, ,29.0,mersenne,16016.0,1
82,62,512,R,44.0,philox,12530.0,1
72,118,587,H,81.0,xoroshiro128,17695.0,1
69,275,513,E,138.0,xoroshiro128,14474.0,1
32,258,697, ,418.0,philox,17967.0,1
80,82,272,P,90.0,mersenne,7982.0,1
79,185,176,O,181.0,philox,10960.0,1
73,300,18,I,331.0,philox,3981.0,1
84,77,496,T,206.0,mersenne,211.0,1
73,371,1050,I,844.0,mersenne,2765.0,1
32,55,30, ,91.0,xoroshiro128,6106.0,1
65,189,529,A,397.0,pcg64,2320.0,1
87,66,172,W,485.0,xoroshiro128,17739.0,1
8,56,152,[BACKSPACE],0.0,human,,0
32,80,134, ,52.0,human,,0
76,315,632,L,250.0,philox,6701.0,1
79,390,669,O,103.0,pcg64,1554.0,1
84,479,1094,T,113.0,mersenne,14912.0,1
77,498,1073,M,874.0,mersenne,4379.0,1
85,115,261,U,92.0,philox,9903.0,1
32,72,56, ,216.0,human,,0
32,309,114, ,341.0,pcg64,4161.0,1
32,391,386, ,71.0,philox,1836.0,1
67,120,184,C,72.0,human,,0
82,40,691,R,654.0,philox,17736.0,1
65,242,213,A,65.0,mersenne,3758.0,1
77,120,262,M,330.0,philox,14643.0,1
84,30,63,T,73.0,philox,8558.0,1
32,488,1122, ,498.0,mersenne,1573.0,1
68,193,668,D,602.0,pcg64,12579.0,1
78,302,146,N,364.0,xoroshiro128,9627.0,1
73,340,362,I,142.0,philox,35.0,1
83,127,433,S,320.0,philox,12279.0,1
76,33,222,L,276.0,pcg64,1159.0,1
32,341,247, ,305.0,mersenne,11161.0,1
77,99,1104,M,406.0,mersenne,18511.0,1
79,189,65,O,566.0,xoroshiro128,11309.0,1
78,241,585,N,43.0,mersenne,6089.0,1
55,280,456,7,257.0,philox,3294.0,1
32,168,886, ,516.0,mersenne,3876.0,1
80,318,665,P,2.0,pcg64,17399.0,1
69,349,550,E,386.0,philox,16668.0,1
40,92,585,[UNK],164.0,human,,0
76,23,257,L,899.0,mersenne,17322.0,1
79,356,106,O,396.0,philox,12987.0,1
67,229,693,C,388.0,pcg64,17602.0,1
55,72,-1,7,401.0,human,,0
85,168,75,U,183.0,mersenne,12159.0,1
69,240,563,E,215.0,philox,9582.0,1
32,135,151, ,22.0,human,,0
83,354,329,S,273.0,xoroshiro128,507.0,1
65,289,658,A,50.0,mersenne,16408.0,1
67,128,664,C,292.0,philox,18.0,1
67,271,402,C,30.0,pcg64,15332.0,1
32,159,588, ,440.0,xoroshiro128,1495.0,1
78,93,34,N,497.0,pcg64,10266.0,1
32,286,213, ,56.0,philox,17419.0,1
70,12,15,F,362.0,xoroshiro128,2378.0,1
67,53,557,C,266.0,philox,13590.0,1
32,81,88, ,8.0,human,,0
69,390,336,E,337.0,philox,13310.0,1
84,21,642,T,534.0,mersenne,11025.0,1
79,120,128,O,360.0,human,,0
84,208,200,T,20.0,philox,18435.0,1
32,168,59, ,730.0,mersenne,4414.0,1
32,308,669, ,557.0,mersenne,17090.0,1
79,176,1030,O,180.0,mersenne,851.0,1
84,320,33,T,153.0,pcg64,13449.0,1
32,171,187, ,273.0,pcg64,2350.0,1
69,290,634,E,333.0,philox,16802.0,1
79,123,228,O,210.0,philox,10819.0,1
